09:26:06 From  Brian Jones (OTN)  to  Everyone : https://github.com/otn-workshops/obis-workshop-fr/issues/6
09:38:32 From  Jon Pye (OTN)  to  Everyone : je vais prendre un moment pour verifier que mes enfants n'a rien detruit :)
09:45:11 From  Jon Pye (OTN)  to  Everyone : https://github.com/otn-workshops/obis-workshop-fr
09:45:19 From  Jon Pye (OTN)  to  Everyone : https://github.com/otn-workshops/obis-workshop-fr/blob/master/Horaire.docx
09:53:25 From  Jon Pye (OTN)  to  Everyone : Si vous avez des problemes avec les installations R ou rien d'autre, nous sommes ici pour vous aider chaque jour pour 1h avant qu'on commence l'atelier, :)
09:54:14 From  Valérie Cypihot  to  Everyone : Le lien pour installer les packages (https://github.com/otn-workshops/obis-workshop-fr/blob/master/rmd-files/install_packages.Rmd) ne fonctionne pas pour moi!
09:54:50 From  Jon Pye (OTN)  to  Everyone : https://github.com/otn-workshops/obis-workshop-fr/blob/master/fichiers_Rmarkdown/installez_packages.Rmd
09:55:08 From  Valérie Cypihot  to  Everyone : Parfait!
09:59:58 From  Jon Pye (OTN)  to  Everyone : Si vous ne l'avez pas deja, R et R Studio sont tous les deux disponible par le portail de logiciels du MPO.
10:16:02 From  Jon Pye (OTN)  to  Everyone : Trouvez l'horaire et les materiaux pour l'atelier ici: https://github.com/otn-workshops/obis-workshop-fr
10:21:42 From  claudenozeres  to  Everyone : Photo affichée vient de NASA MODIS, PVI
10:22:49 From  claudenozeres  to  Everyone : Exemples: https://visibleearth.nasa.gov/images/115675/ice-at-the-mouth-of-the-st-lawrence-river
10:22:50 From  claudenozeres  to  Everyone : https://visibleearth.nasa.gov/images/95274/gulf-of-st-lawrence-quebec-canada
10:27:58 From  claudenozeres  to  Everyone : …et données creditées (sur OBIS). Le plus important.
10:29:24 From  claudenozeres  to  Everyone : 1,5 million publiés par Maritimes la semaine passée! https://obis.org/dataset/7b6fa45f-e4fd-4e40-a537-97eb2f63c690
10:29:53 From  Jon Pye (OTN)  to  Everyone : je n'ai pas encore vu ca! c'est super!
10:31:28 From  Jon Pye (OTN)  to  Everyone : 4 million MeasurementOrFact avec les 1.5m donnees, wow.
10:32:52 From  claudenozeres  to  Everyone : Oui, c’est un très bon exemple de MoF dans les données!
