Sampling year;Date in;Date out;Station code;Station name;Season;Weeks;Latitude;Longitude;Station Description;Rational;Minilog ID;Minilog Lost;Collector ID;Collector Type;Surface ID;Num_collecteur;C intestinalis % cover;B schlosseri % cover;B schlosseri Color Morph;B violaceus % cover;B violaceus Color Morph;S clava % cover;D vexillum % cover;D listerianum % cover;A aspersa % cover;M membranacea % cover;C mutica % cover;C Pallasiana % cover;Molgula spp. % cover;Schizoporella spp. % cover;Other species;Comments Fauna;Sample Date;Sample time;Prob Depth;Data Prob;Temperture C;Sal ppt;O2 percent;O2 mg-l;SpCond - mS;Spc - mS;pH;pHmV;Chl ug-l;Sampler;Affiliation;Contact;Num_collecteur;Comments;Ech_genetique
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;1;Petri Dish;1;IM-17-033PE1;0;0;;0;;0;0;0;0;0;0;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-033PE1;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;1;Petri Dish;2;IM-17-033PE2;0;0;;0;;0;0;0;0;0;0;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-033PE2;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;1;Petri Dish;3;IM-17-033PE3;0;0;;0;;0;0;0;0;0;0;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-033PE3;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;1;Plate;1;IM-17-033PL;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-033PL;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;2;Petri Dish;1;IM-17-034PE1;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-034PE1;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;2;Petri Dish;2;IM-17-034PE2;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-034PE2;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;2;Petri Dish;3;IM-17-034PE3;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-034PE3;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;2;Plate;1;IM-17-034PL;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-034PL;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;3;Petri Dish;1;IM-17-035PE1;0;0;;0;;0;0;0;0;0;0;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-035PE1;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;3;Petri Dish;2;IM-17-035PE2;0;0;;0;;0;0;0;0;0;0;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-035PE2;;
